Название;Регион;Район;Населённый пункт;Адрес;Широта;Долгота;Телефоны;Время работы
"ГУЗ ""Салехардская окружная клиническая больница""";Ямало-Ненецкий АО;Салехард;Салехард;г. Салехард, ул. Мира, 39;66.533311;66.60038;(34922) 4-50-79;пн-пт 8.00 - 14.00
"МУЗ ""ГБ г. Губкинский""";Ямало-Ненецкий АО;Губкинский;Губкинский;г. Губкинский, мкрн. 1, 1;64.435574;76.498375;(34936) 3-68-77, 3-68-80;пн-пт 8.00 -14.00
"МУЗ ""Лабытнангская центральная городская многопрофильная больница""";Ямало-Ненецкий АО;Лабытнанги;Лабытнанги;г. Лабытнанги, ул. Дзержинского, 27;66.655508;66.394386;(34992) 5-05-70;пн-пт 8.00 - 15.00
"МУЗ ""ЦРБ г. Надым""";Ямало-Ненецкий АО;Надымский;Надым;г. Надым, ул. Сенькина, 2;65.535906;72.541294;(3499) 53-06-82, 53-06-61;пн-пт 8.00 - 15.00
"МУЗ ""Центральная городская больница г. Новый Уренгой""";Ямало-Ненецкий АО;Новый Уренгой;Новый Уренгой;г. Новый Уренгой, ул. Геологоразведчиков, 7;66.097239;76.700249;(3494) 94-52-97;пн-пт 8.00 - 15.00
ГУЗ Пензенская областная СПК;Пензенская область;Пенза;Пенза;г. Пенза, ул. К. Цеткин, 41а;53.220219;45.048923;(8412) 50-15-05, 50-15-15;пн-чт  8.00 - 14.00
"ГУЗ ""Республиканская станция переливания крови""";Республика Дагестан;Махачкалинский район;Махачкала;г. Махачкала, ул. Д. Атаева, д. 3;42.972847;47.493532;(8722) 63-79-41, 63-75-92, 63-76-18;пн-сб 8.30 - 15.00
Республиканская детская КБ;Республика Дагестан;Махачкалинский район;Махачкала;г. Махачкала, пр. Акушинского, 7 линия, 2а;42.973571;47.489991;(8722) 64-75-71, 63-32-27;пн-пт 8.30 - 13.00
"ГУЗ ""Республиканская станция переливания крови""";Республика Ингушетия;Назрановский;Назрань;386102, г. Назрань, ул. Муталиева, 11;43.220877;44.767056;(8732) 22-22-84, 22-53-02;пн-пт 9.00 - 16.00
"ГУЗ ""Центр крови Республики Калмыкия""";Республика Калмыкия;Элиста;Элиста;г. Элиста, ул. Пушкина, 52;46.312962;44.253460;(84722) 2-48-34, 2-45-09;пн-пт 8.00 - 16.00, сб 8.00-13.00
"ГУЗ ""Республиканская станция переливания крови""";Республика Карачаево-Черкесия;Черкесск;Черкесск;г. Черкесск, ул. Пушкина, 67;44.230850;42.064770;(8782) 26-54-01, 26-40-60;пн-пт 8.30 - 13.00
"ГУЗ ""Станция переливания крови Псковской области""";Псковская область;Псковский;Псков;г. Псков, Интернациональный пер., д. 4;57.822812;28.321456;(8112) 56-26-13;пн-пт 9.00-13.00, чт 15.00-18.00
"ГУЗ ""Камчатская краевая станция переливания крови""";Камчатский край;Петропавловск-Камчатский район;Петропавловск-Камчатский;г. Петропавловск-Камчатский, ул. Курчатова, д. 17;53.061562;158.622482;(4152) 7-23-65;пн-пт 8.30-11.30
"ГУЗ ""Республиканская СПК""";Республика Хакасия;Усть-Абаканский район;Абакан;г. Абакан, ул. Хакасская, 26;53.722107;91.463885;(39022) 34-33-51;пн-пт 8.00 -15.30
Волгодонский филиал;Ростовская область;Волгодонский;Волгодонск;г. Волгодонск, ул. Маршала Кашевого, 23;47.519039;42.141178;(8639) 23-14-92;пн-пт 8.30 - 13.30
"ГУЗ ""Станция переливания крови""";Ростовская область;Ростов-на-Дону;Ростов-на-Дону;г. Ростов-на-Дону, ул. Ченцова, 71/63б;47.236573;39.753857;(863) 251-82-81, 251-87-58;пн-пт 8.30 - 13.30
ОПК в Белокалитвенском районе;Ростовская область;Белокалитвинский;Белая Калитва;г. Белая Калитва, ул. Российская, 5;48.192440;40.773819;(86383) 4-18-68;пн-чт 8.30 - 13.30
"ГУЗ ""Рязанская ОКБ""";Рязанская область;Рязань городской округ;Рязань;г. Рязань, ул. Интернациональная, 3а;54.672172;39.656091;(4912) 21-41-52, 21-41-54;вт-пт 8.30 - 11.00
"ГУЗ ""Рязанская областная станция переливания крови""";Рязанская область;Рязань городской округ;Рязань;г. Рязань, ул. Спортивная, 7;54.624660;39.738571;(4912) 27-35-06;пн-пт 8.00 - 13.00
"Филиал №4 ГУЗ ""ЛОСПК""";Ленинградская область;Кингисеппский район;Кингисепп;Кингисеппский район, г. Кингисепп, ул. Большая Советская, д. 22;59.376117;28.605938;(81375) 2-56-60;вт 9:00-12:00
"ГУЗ ""Станция переливания крови""";Хабаровский край;Хабаровский;Хабаровск;г. Хабаровск, ул. Волочаевская, 46;48.465466;135.092450;(4212) 36-55-06, 23-82-90;пн-пт 8.30-13.30
Отделение забора крови №7;Ярославская область;Угличский;Углич;г. Углич, ул. Северная, 9;57.526018;38.331585;(48532) 5-43-09, 5-49-12;ср, чт 8.00-12.00
"РУЗ ""Станция переливания крови Минздрава Республики Тыва""";Республика Тыва;Кызылский кожуун;Кызыл;г. Кызыл, ул. Чульдум, 1;51.721909;94.417397;(9422) 2-34-82;пт 8.00-11.00
"ГУЗ ""Клинический онкологический диспансер""";Омская область;Омск;Омск;г. Омск, ул. Завертяева, 9/1;55.040467;73.443389;(3812) 60-18-12;пн-пт 9.30-13.00
"МУЗ ""Данковская ЦРБ""";Липецкая область;Данковский;Данков;г. Данков, ул. Зайцева, 3/1;53.249630;39.142780;(47465) 6-57-11, 6-60-68;пн-пт 8.00-16.00
"МУ ""Мытищинская ГКБ""";Московская область;Мытищинский район;Мытищи;г. Мытищи, ул. Коминтерна, 24;55.918979;37.758345;"(495) 586-43-11, ОПК; 586-41-66";пн,вт 9.30-11.00
"ГУЗ МО ""Подольская станция переливания крови""";Московская область;Подольский район;Подольск;г. Подольск, ул. Кирова, 9;55.427993;37.537417;(496) 754-10-94, 754-36-76;пн,вт,ср 8.00-12.00
"ММУ ""Крестецкая ЦРБ""";Новгородская область;Крестцовский;Крестцы;р.п. Крестцы, ул. Московская, 1;58.242359;32.502510;(81659) 5-43-16;вт 10.00-12.00
"МУЗ ""Окуловская ЦРБ""";Новгородская область;Окуловский;Окуловка;г. Окуловка, ул. Калинина, 129;58.369831;33.301609;(81657) 2-35-90;пн,ср 8.30-9.30
"МУЗ ""Закаменская ЦРБ""";Республика Бурятия;Закаменский район;Закаменск;г. Закаменск, ул. Больничная, 6;50.367840;103.279030;(30137) 4-52-29, 4-42-50;пн-пт 8.00-16.30
"Филиал ГУЗ ""Чаунская РБ""";Чукотский АО;Певек;Певек;г. Певек, ул. Куваева, 17;69.69889;170.374489;(42737) 4-13-02, 4-10-40;вт 8.00-12.00
Отделение забора крови №2;Ярославская область;Ярославль;Ярославль;г. Ярославль, ул. Загородный сад, 11;57.639456;39.863348;(4852) 25-12-45;вт,чт 8.00-12.00
Центральная диагностическая лаборатория;Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;Новоизмайловский пр-т, 29;59.862017;30.303315;(812) 375-81-28;пн-сб 8.30-14.00
"МУЗ ""Октябрьская ЦРБ""";Еврейская АО;Октябрьский;с.  Амурзет;Октябрьский р-он, с. Амурзет, ул. Ленина, 98;47.695099;131.090744;(42665) 2-24-01;пн-пт 8.00-15.30
"МУЗ ""КБ СПМ №7""";Волгоградская область;Волгоград городской округ;Волгоград;г. Волгоград, ул. Казахская, 1;48.676017;44.456487;(8442) 41-02-23;вт,чт 8.00-12.00
"ГУЗ ""Республиканская станция переливания крови""";Республика Кабардино-Балкария;Нальчик;Нальчик;г. Нальчик, ул. Тарчокова, 12;43.49079;43.602505;(8662) 7-26-46;пн-пт 8.00-14.00
"МУЗ ""ГБ городского округа Прохладный""";Республика Кабардино-Балкария;Прохладненский;Прохладный;г. Прохладный, ул. Ленина, 113;43.748529;44.034748;(86631) 4-55-35;пн,ср, пт 8.00-14.30
"МЛПУ ""Зеленчукская ЦРБ""";Республика Карачаево-Черкесия;Зеленчукский;ст. Зеленчукская;Зеленчукский р-н, ст. Зеленчукская, ул. Интернациональная, 123;43.859119;41.589710;(87878) 4-39-09;пн,вт,чт,пт 10.00-12.00
"МЛПУ ""Карачаевская ЦГРБ";Республика Карачаево-Черкесия;Карачаевский;Карачаевск;г. Карачаевск, ул. Магометова, 5;43.775299;41.909851;(87879) 2-21-10;вт-чт 9.00-13.00
"МЛПУ ""Урупская ЦРБ""";Республика Карачаево-Черкесия;Урупский;пос. Медногорский;Урупский район, пос. Медногорский, ул. Мира, 1;43.916667;41.183333;(87876) 6-12-94;вт 8.00-12.00
"МЛПУ ""Костомукшская ГБ""";Республика Карелия;Костомукша;Костомукша;г. Костомукша, ул. Мира, 9;64.570511;30.575470;(81459) 5-10-27;вт, чт 9.00-12.00
"МУ ""Медвежьегорская ЦРБ""";Республика Карелия;Медвежьегорский;Медвежьегорск;г. Медвежьегорск, ул. Солунина, 14;62.911598;34.434860;(81434) 5-67-33;вт 9.00-12.00
"МУ ""Сегежская ЦРБ""";Республика Карелия;Сегежский;Сегежа;г. Сегежа, ул. Мира, 38;63.743439;34.303120;(81431) 4-31-55;вт,чт 9.00-12.00
"МУ ""Суоярвская ЦРБ""";Республика Карелия;Суоярвский;Суоярви;г. Суоярви, ул. Шельшакова, 17;62.094341;32.376759;(81457) 5-10-40;вт 9.00-12.00
"МУ ""ЦРБ Беломорского р-на""";Республика Карелия;Беломорский;Беломорск;г. Беломорск, ул. Мерецкова, 6;64.545837;34.772820;(81437) 5-13-41;вт 9.00-12.00
"МУ ""ЦРБ Кемского р-на""";Республика Карелия;Кемский;Кемь;г. Кемь, ул. Энергетиков, 16;64.958382;34.568340;(81458) 2-16-54;вт 9.00-12.00
"МУ ""Чупинская РБ""";Республика Карелия;Лоухский;пос. Чупа;Лоухский р-он, п. Чупа, ул. Коргуева, 4;66.275009;33.063110;(81439) 4-15-55;вт. 9.00-12.00
"МУЗ ""Кондопожская ЦРБ""";Республика Карелия;Кондопожский;Кондопога;г. Кондопога, ул. Бумажников, 20а;62.211479;34.263470;(81451) 4-33-00;вт, чт 9.00-12.00
"МУЗ ""Лахденпохская ЦРБ""";Республика Карелия;Ланденпохский;Ланденпохья;г. Лахденпохья, ул. Красноармейская, 9;61.522289;30.192551;(81450) 2-22-48;вт 9.00-12.00
"МУЗ ""Пудожская ЦРБ""";Республика Карелия;Пудожский;Пудож;г. Пудож, ул. Пионерская, 69а;61.820271;36.533138;(81452) 5-13-74;вт 9.00-12.00
"ГУЗ ""Воркутинская станция переливания крови""";Республика Коми;Воркута городской округ;Воркута;г. Воркута, ул. Гагарина, 10-а;67.485046;64.029739;(82151) 6-32-90;пн-пт 8.00-12.00
"МУЗ ""Прилузская ЦРБ""";Республика Коми;Прилузский;с. Объячево;Прилузский район, с. Объячево, ул. Мира, 143;60.340260;49.601551;(82133) 2-27-67;вт, чт 8.00-12.00
"МУЗ ""Усинская ЦРБ""";Республика Коми;Усинск городской округ;Усинск;г. Усинск, Больничный пр-д, 2;66.009308;57.547401;(82144) 4-15-03;вт,чт 8.00-12.00
"МУЗ ""Зубово-Полянская ЦРБ""";Республика Мордовия;Зубово-Полянский район;п. Зубово-Полянское;Зубово-Полянский район, п. Зубово-Полянское, ул. Советская, 50;54.047091;42.682399;(83458) 2-19-96;пн-пт 8.00-12.00
"МУЗ ""Ковылкинская ЦРБ""";Республика Мордовия;Ковылкинский;Ковылкино;г. Ковылкино, ул. Гагарина, 33;54.045078;43.930920;(83453) 2-19-96;пн-пт 8.00-12.00
"МУЗ ""Комсомольская ЦРБ""";Республика Мордовия;Чамзинский;п. Комсомольский;Чамзинский район, п. Комсомольский, ул. Пионерская, 3;54.442322;45.820549;(83437) 3-38-03;пн-пт 8.00-12.00
"МУЗ ""Краснослободская ЦРБ""";Республика Мордовия;Краснослободский;Краснослободск;г. Краснослободск, ул. Кирова, 76;54.435551;43.786041;(83443) 3-00-15;пн-пт 8.00-12.00
"МУЗ ""Рузаевская ЦРБ""";Республика Мордовия;Рузаевский;Рузаевка;г. Рузаевка, ул. Маяковская, 90;54.061379;44.959679;(83451) 4-04-02;пн-пт 8.00-12.00
"МУЗ ""Торбеевская ЦРБ""";Республика Мордовия;Торбеевский;п. Торбеево;Торбеевский район, р.п. Торбеево, ул. Больничная, 38;54.081478;43.264580;(83456) 2-10-38;пн-пт 8.00-12.00
ГУЗ Республика Саха (Якутия) «Станция переливания крови»;Республика Саха (Якутия);Якутск городской округ;Якутск;г. Якутск, ул. Петра Алексеева, 87;62.039261;129.746399;(4112) 43-29-33;пн-пт с 8.00 до 12.00.
МУЗ «Алданская ЦРБ»;Республика Саха (Якутия);Алданский;Алдан;г.Алдан, улица Комарова, 27;58.602169;125.368714;(41145)3-28-18;8.30-11.30
МУЗ «Мирнинская ЦРБ»;Республика Саха (Якутия);Мирнинский;Мирный;г Мирный, улица Тихонова,3;62.530819;113.976181;(41136) 3-08-18;8.30-12.00
МУЗ «Нерюнгринская ЦРБ»;Республика Саха (Якутия);Нерюнгринский;Нерюнгри;г.Нерюнгри, ул.Больничный комплекс;56.671799;124.650436;(41147) 4-23-23;8.00-11.30
"МУЗ ""Моздокская РБ""";Республика Северная Осетия (Алания);Моздокский;Моздок;г. Моздок, ул. Мира, 2;43.741890;44.662750;(86736) 3-17-32;пн-пт 9.00-14.00
"ГУ ""Межрегиональный КДЦ""";Республика Татарстан;Казань- городской округ;Казань;г. Казань, ул. Карбышева, 12А, 420101;55.752269;49.171921;(843) 291-11-77;пн-пт 8.00-14.00
"ГУЗ ""Детская РКБ""";Республика Татарстан;Казань- городской округ;Казань;г. Казань, ул. Оренбургский тракт, 140, 420000;55.729344;49.182128;(843) 269-82-78;пн-пт 8.00-14.00
"ГУЗ ""Республиканская станция переливания крови""";Республика Татарстан;Казань- городской округ;Казань;г. Казань, ул. Ново-Азинская, 33, 420000;55.812132;49.196728;(843) 273-78-33;пн-пт 8.00-14.00
"МБУ ""Азнакаевская ЦРБ""";Республика Татарстан;Азнанкаевский;Азнанкаево;г. Азнакаево, ул. Хасаншиной, 21;54.863300;53.085739;(85592) 9-38-43;пн-пт 8.00-14.00
"МБУ ""Елабужская, ЦРБ""";Республика Татарстан;Елабужский;Елабуга;г. Елабуга, ул. Пр. Нефтяников, 57;55.761799;52.061390;(85557) 3-03-11, 3-11-74, ОПК: 3-64-12;пн-пт 8.00-14.00
"МБУ ""Заинская ЦРБ""";Республика Татарстан;Заинский;Заинск;г. Заинск, ул. Комсомольская, 52;55.321941;52.076370;(85558) 3-79-60;пн-пт 8.00-14.00
"МБУ ""Кукморская ЦРБ""";Республика Татарстан;Кукморский;Кукмор;г. Кукмор, ул. Ворошилова, 24;56.189098;50.885430;(84364) 2-81-13, 2-81-25, ОПК: 2-68-01;ср 8.00 - 12.00
"МБУ ""Лениногорская ЦРБ""";Республика Татарстан;Лениногорский;Лениногорск;г. Лениногорск, ул. Садриева, 20;54.597561;52.458271;(85595) 5-07-35, ОПК: 5-06-40;пн-пт 8.00-14.00
"МБУ ""Мамадышская ЦРБ""";Республика Татарстан;Мамадышский;Мамадыш;г. Мамадыш, ул. Ленина, 105;55.716980;51.408169;(85563) 3-29-60, 3-23-06, ОПК: 3-29-37;пн-пт 8.00-14.00
"МБУ ""Нурлатская ЦРБ""";Республика Татарстан;Нурлатский;Нурлат;г. Нурлат, ул. Пушкина, 2;54.422730;50.789322;(84345) 2-06-32, 2-27-38;пн-пт 8.00-14.00
"МБУ ""Чистопольская ЦРБ""";Республика Татарстан;Чистопольский;Чистополь;г. Чистополь, ул. К. Маркса, 59;55.366039;50.642422;(84342) 5-07-89, 5-07-90, 5-06-27;пн-пт 8.00-14.00
"Филиал ""Альметьевская СПК""";Республика Татарстан;Альметьевский;Альметьевский;г. Альметьевск, ул. Ленина, 157;54.893219;52.346230;(8553) 33-12-78;пн-пт 8.00-14.00
"Филиал ""Бугульминская СПК""";Республика Татарстан;Бугульминский;Бугульма;г. Бугульма, ул. Советская, 80А;54.536610;52.797630;(85594) 6-79-13;пн-пт 8.00-14.00
"Филиал ""Зеленодольская СПК""";Республика Татарстан;Зеленодольский;Зеленодольск;г. Зеленодольск, ул. Маяковского, 3;55.844689;48.520111;(84371) 5-22-42, 5-76-26;пн-пт 8.00-14.00
"Филиал ""Набережночелнинская СПК""";Республика Татарстан;Набарежные Челны;Набарежные Челны;г. Набережные Челны, ул. Гидростроителей, 19;55.686419;52.293266;(8552) 77-43-94;пн-пт 8.00-14.00
"Филиал ""Нижнекамская СПК""";Республика Татарстан;Нижнекамский;Нижнекамск;г. Нижнекамск, ул. Менделеевская, 32а;55.629379;51.810940;(8555) 34-62-97;пн-пт 8.00-14.00
"ГУЗ ""Первая республиканская КБ""";Республика Удмуртия;Ижевск городской округ;Ижевск;г. Ижевск, Воткинское шоссе, д. 57;56.842609;53.224449;(3412) 20-47-00, 46-86-36;пн-пт 8.00-12.00
"ГУЗ ""Республиканская станция переливания крови""";Республика Удмуртия;Ижевск городской округ;Ижевск;г. Ижевск, Воткинское шоссе, д. 79;56.842952;53.229361;(3412) 45-50-11, 45-24-41;пн-пт 8.00-12.00
"МЛПУ ""ГБ №2""";Республика Удмуртия;Воткинский;Воткинск;г. Воткинск, ул. 1 Мая, 93;57.057541;53.995110;(34145) 5-30-21;пн-пт 8.00-13.00
"МУЗ ""ГБ №1""";Республика Удмуртия;Глазовский;Глазов;г. Глазов, ул. Мира, 22;58.135288;52.662441;(34141) 3-68-50, 5-46-51;вт 7.00-10.00
"МУЗ ""Можгинская ЦРБ""";Республика Удмуртия;Можгинский;Можга;г. Можга.ю ул. Сюгаильская, 19;56.369301;52.249290;(34139) 3-26-36;вт,чт 8.00-11.00
"МУЗ ""Сарапульская станция переливания крови""";Республика Удмуртия;Сарапульский;Сарапул;г. Сарапул, ул. Фурманова, 9;56.476261;53.797562;(34147) 3-90-76;вт 8.00-11.00
"МУЗ ""Саяногорская ГБ №2""";Республика Хакасия;Саяногорский район;Саяногорск;г. Саяногорск, ул. Шушенская, 2а;53.089642;91.415703;(39042) 2-28-69, 2-28-92;вт,чт 8.00-11.00
Каменск-Шахтинский филиал;Ростовская область;Каменский;Каменск-Шахтинский;г. Каменск-Шахтинский, ул. Подтелкова, 83;48.319328;40.263828;(86365) 7-34-40;пн-пт 8.30-13.30
Морозовский филиал;Ростовская область;Морозовский;Морозовск;г. Морозовск, ул. Дербенцева, 147;48.356541;41.816929;(86384) 5-08-26;пн-пт 8.30-13.30
ОПК в г. Азове;Ростовская область;Азовский;Азов;г. Азов, ул. Васильева, 96/13;47.099049;39.438629;(86342) 6-78-02;пн-пт 8.30-13.30
ОПК в г. Новочеркасске;Ростовская область;Новочеркасск;Новочеркасск;г. Новочеркасск, ул. Комитетская, 52;47.421982;40.091991;(86352) 2-20-33;пн-пт 8.30 - 13.30
ОПК в г. Новошахтинске;Ростовская область;Новошахтинск;Новошахтинск;г. Новошахтинск, ул. Войкова, 70б;47.758720;39.933609;(86369) 2-06-81;пн-пт 8.30-13.30
ОПК в Миллеровском районе;Ростовская область;Миллеровский;Миллерово;г. Миллерово, ул. 3-я Интернационала, 60;48.923630;40.407971;(86385) 2-10-63;пн-пт 8:30 - 13:30
ОПК в Сальском р-не;Ростовская область;Сальский;Сальск;г. Сальск, ул. Павлова, 2;46.474861;41.535431;(86372) 7-22-69;пн-пт 8.30-13.30
Таганрогский филиал;Ростовская область;Таганрог;Таганрог;г. Таганрог, пер. Каркасный, 5;47.234271;38.904916;(8634) 32-99-17;пн-пт 8.30 - 13.30
Шахтинский филиал;Ростовская область;Шахты;Шахты;г. Шахты, ул. Ленинского Комсомола, 58;47.708519;40.215309;(86362) 3-01-23;пн-пт 8.30-13.30
"МУ ""Шиловская ЦРБ""";Рязанская область;Шиловский;р.п.Шилово;р.п. Шилово, ул. Пронская, 27;54.328812;40.881470;(49136) 2-14-39, 2-23-89, 2-17-34;по четным числам, ср 8.00 - 10.30
"МУЗ ""Касимовская ЦРБ""";Рязанская область;Касимовский;Касимов;г. Касимов, ул. Загородная, 13;54.944210;41.406780;(49131) 5-05-11, 5-06-12;пн-чт 9.00-11.00
"МУЗ ""Михайловская ЦРБ""";Рязанская область;Михайловский;Михайлов;г. Михайлов, ул. Больничная, 29;54.232620;39.018780;(49130) 2-12-07;пн 9.00 - 12.00
"МУЗ ""Новомичуринская ЦРБ""";Рязанская область;Новомичуринск;Новомичуринск;г. Новомичуринск, ул. Строителей, 2;54.033161;39.737289;(49141) 2-15-36, 2-13-71;по четным числам, вт 8.00-10.30
"МУЗ ""Ряжская ЦРБ""";Рязанская область;Ряжский;Ряжск;г. Ряжск, ул. Высотная, 20;53.707821;40.059620;(49132) 2-26-31, 2-14-21;пн,вт,ср,пт 9.00-13.00
"МУЗ ""Сасовская ЦРБ""";Рязанская область;Сасовский;Сасово;г. Сасово, ул. Типанова, 32а;54.343559;41.907539;(49133) 5-14-12;ср 9.00-12.00
"МУЗ ""Скопинская ЦРБ""";Рязанская область;Скопинский;Скопин;г. Скопин, Автозаводской микр, 5;53.818939;39.543060;(49156) 5-13-63, 5-13-66;вт-чт 9.30 - 12.00
"МУЗ ""Спасская ЦРБ""";Рязанская область;Спасский;Спасск-Рязанский;г. Спасск (Рязанский), ул. Советская, 1;54.408199;40.380020;(49135) 3-39-17, 3-33-08;пн,ср 9.00-12.00
"МУЗ ""Шацкая ЦРБ""";Рязанская область;Шацкий;Шацк;г. Шацк, ул. Интернациональная, 60;54.018661;41.714081;(49147) 2-12-36, 2-13-34, 2-27-38;2 р. в месяц, чт 8.30-12.00
МУЗ ГКБ СМП;Рязанская область;Рязань городской округ;Рязань;г. Рязань, ул. Дзержинского, 11;54.621035;39.722402;(4912) 76-33-18, 76-27-17;пн-пт 8.00 - 10.00
МУЗ Клепиковская ЦРБ;Рязанская область;Спасс-Клепики;Спасс-Клепики;г. Спас-Клепики, ул. Бебеля, 3;55.133060;40.184368;(49142) 2-60-38;ср 9.00 - 12.00
"ГУЗ ""Городская станция переливания крови""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;г. Санкт-Петербург,Московский пр-т, 104;59.895333;30.320804;(812) 635-68-70, 388-18-55;пн-сб 8.30 - 14.00
"ГУЗ ""Городской клинический онкологический диспансер""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;г. Санкт-Петербург, пр-т Ветеранов, 56;59.837964;30.238172;(812) 756-99-00, 752-95-54;пн-чт 9.00-12.00
"ГУЗ ""Санкт-Петербургская ГБ Святой Преподобномученицы Елизаветы""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;ул. Вавиловых, 14;60.024247;30.391732;(812) 555-15-05, 555-57-73;пн 15.00 - 19.00, вт-пт 9.00 - 11-2.00
"ГУЗ ""Санкт-Петербургская ГБ Святого Великомученика Георгия""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;Северный пр-т, 1;60.029374;30.326922;(812) 511-96-00, 510-95-00;пн,вт,ср,пт 9.00-12.00
"ГУЗ ""Санкт-Петербургская ГБ №26""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;ул. Костюшко, 2;59.849169;30.295658;(812) 723-32-28, 723-32-24;пн,ср,чт 9.00 - 12.00
"ГУЗ ""Санкт-Петербургская ГБ №31""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;пр-т Динамо, 3;59.971173;30.280032;(812) 235-49-66, 235-21-11;пн-пт 9.00-12.00
"ГУЗ ""Санкт-Петербургская ГБ №5""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;ул. Авангардная, 4;59.840854;30.182098;(812) 735-07-66;пн-пт 9.00 - 12.00
"ГУЗ ""Санкт-Петербургская городская Александровская больница""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;пр-т. Солидарности, 4;59.927436;30.489613;(812) 583-16-23, 589-11-41;вт,чт 9.00 - 12.00, ср 9.00-19.00
"ГУЗ ""Санкт-Петербургская городская многопрофильная больница №2""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;Учебный пер., 5;60.037285;30.336590;(812) 513-64-54, 510-79-31;пн-пт 9.00-12.00
"ГУЗ ""Санкт-Петербургская детская инфекционная больница №5 им. Н.Ф. Филатова""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;ул. Бухарестская, 134;59.839124;30.421303;(812) 776-18-18, 708-16-34;пн-пт 9.00-12.00
"ГУЗ ОПК ""Санкт-Петербургская городская Мариинская больница""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;Литейный пр-т., 56;59.934710;30.353486;(812) 275-74-55;пн,ср,чт 9.00 - 12.00
Центральная диагностическая лаборатория;Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;Новоизмайловский пр-т, 29;59.862075;30.303144;(812) 375-81-28;пн-сб 8.30-14.00
Филиал ГУЗ СОСПК, ОЗК №1;Саратовская область;Балашовский;Балашов;г. Балашов, ул. Шоссейная, д. 9а;51.537449;43.152870;(84545) 5-01-44;пн,вт,чт,пт 8.00-13.00
Филиал ГУЗ СОСПК, ОЗК №2;Саратовская область;Пугачевский;Пугачев;г. Пугачев, ул. Бубенца, д. 53;52.020649;48.798180;(84574) 2-29-17;вт,чт 8.00-13.00
Филиал ГУЗ СОСПК, ОЗК №5;Саратовская область;Вольский;Вольск;г. Вольск, ул. Львова Роща, 1;52.044861;47.376011;(84593) 5-17-40;пн-пт 8.00-13.00
Филиал ГУЗ СОСПК ОЗК № 3;Саратовская область;Саратов городской округ;Саратов;г. Саратов, ул. Хользунова, д. 19;51.525174;46.003334;"информацию можно получить по телефону  ГУЗ ""Саратовскую ОСПК"" (8452) 35-20-51, 63-76-03";пн-пт 8.00-15.00
Филиал ГУЗ СОСПК, ОЗК №7;Саратовская область;Энгельский;Энгельс;г. Энгельс, ул. Весенняя, д. 8;51.479679;46.110069;(84537) 6-17-37;пн-пт 8.00-12.00
ОГУЗ Сахалинская областная станция переливания крови;Сахалинская область;Южно-Сахалинск;Южно-Сахалинск;г. Южно-Сахалинск, пр-т Мира, 430;46.961262;142.731980;(4242) 55-07-45;пн-пт 8.30 - 12.00
ОПК МУЗ Александровск-Сахалинская ЦРБ;Сахалинская область;Александровск-Сахалинский;Александровск-Сахалинский;г. Александровск-Сахалинский, ул. Ленина, 48а;50.900810;142.152023;(42434) 4-31-13;вт 8.30 - 10.00
ОПК МУЗ Невельская ЦРБ;Сахалинская область;Невельский;Невельск;г. Невельск, ул. Культуры, 1;46.684761;141.859222;(42436) 6-56-99;пн, чт 8.00 - 10.00
ОПК МУЗ Смирныховская ЦРБ;Сахалинская область;Смирныховский;п.г.т. Смирных;п.г.т. Смирных, ул. 8 Марта, 21;49.746540;142.837448;(42452) 2-24-93;пн, чт 9.00 - 11.00
ОПК МУЗ Холмская ЦРБ;Сахалинская область;Холмский;Холмск;г. Холмск, ул. Адмирала Макарова, 9;47.062469;142.061310;(42433) 6-29-36;пн-пт 8.30 - 10.00
Станция переливания крови;Сахалинская область;Долинский;Долинск;г. Долинск, Севастьянова 1а;47.334309;142.792206;(42442) 2-41-05;пн-пт 9.00 - 11.00
Обособленное структурное подразделение №1;Свердловская область;Каменск-Уральский;Каменск-Уральский;г. Каменск-Уральский, ул. Лечебная, 7;56.426479;61.908489;"(3439) 34-82-53; 34-82-48";пн-пт 8.00 - 12.00
Отдел заготовки крови №1;Свердловская область;Алапаевский;Алапаевск;г. Алапаевск, ул. Ленина, 123;57.854118;61.705730;(34346) 3-20-45;пн-пт 8.00 - 14.00
Отдел заготовки крови №1;Свердловская область;Серовский;Серов;г. Серов, ул. М.Горького, 73а;59.598202;60.588459;(34385) 7-76-56;пн,вт,ср 8.00 - 13.00
Отдел заготовки крови №1 г. Качканар;Свердловская область;Качканар;Качканар;г. Качканар, ул Свердлова, 42/1;58.698349;59.489391;(34341) 6-02-80;пн-пт 8.00 - 16.30
